Designator,Mid X,Mid Y,Layer,Rotation
ACCESSORY, 8.89,29.21,Top,0.0
ACCESSORY_GPIO, 8.89,21.59,Top,0.0
C1,78.11,31.75,Top,0.0
C2,99.06,21.59,Top,180.0
C3,43.18,10.79,Top,0.0
C4,99.06,24.13,Top,180.0
C5,99.06,11.43,Top,0.0
C6,109.22,24.13,Top,180.0
C7,19.05,73.66,Top,270.0
C8,142.24,73.66,Top,270.0
C9,80.65,73.66,Top,270.0
C10,111.13,73.66,Top,270.0
C11,50.16,73.66,Top,270.0
C12,127.64,59.69,Top,270.0
C13,66.67,59.69,Top,270.0
C14,154.94,149.86,Top,90.0
C15,147.32,149.86,Top,90.0
C16,139.70,149.86,Top,90.0
C17,132.08,149.86,Top,90.0
C18,124.46,149.86,Top,90.0
C19,116.84,149.86,Top,90.0
C20,109.22,149.86,Top,90.0
C21,101.60,149.86,Top,90.0
C22,93.98,149.86,Top,90.0
C23,86.36,149.86,Top,90.0
C24,78.74,149.86,Top,90.0
C25,71.12,149.86,Top,90.0
C26,10.16,149.86,Top,90.0
C27,17.78,149.86,Top,90.0
C28,25.40,149.86,Top,90.0
C29,33.02,149.86,Top,90.0
C30,40.64,149.86,Top,90.0
C31,48.26,149.86,Top,90.0
C32,55.88,149.86,Top,90.0
C33,63.50,149.86,Top,90.0
C34,35.56,59.69,Top,270.0
C35,109.22,21.59,Top,180.0
C36,109.22,11.43,Top,0.0
C37,153.67,107.95,Top,270.0
C38,153.67,111.76,Top,270.0
C39,153.67,115.57,Top,270.0
C40,153.67,119.38,Top,270.0
C41,146.05,107.95,Top,270.0
C42,146.05,111.76,Top,270.0
C43,146.05,115.57,Top,270.0
C44,146.05,119.38,Top,270.0
C45,138.43,107.95,Top,270.0
C46,138.43,111.76,Top,270.0
C47,138.43,115.57,Top,270.0
C48,138.43,119.38,Top,270.0
C49,130.81,107.95,Top,270.0
C50,130.81,111.76,Top,270.0
C51,130.81,115.57,Top,270.0
C52,130.81,119.38,Top,270.0
C53,123.19,107.95,Top,270.0
C54,123.19,111.76,Top,270.0
C55,123.19,115.57,Top,270.0
C56,123.19,119.38,Top,270.0
C57,115.57,107.95,Top,270.0
C58,115.57,111.76,Top,270.0
C59,115.57,115.57,Top,270.0
C60,115.57,119.38,Top,270.0
C61,107.95,107.95,Top,270.0
C62,107.95,111.76,Top,270.0
C63,107.95,115.57,Top,270.0
C64,107.95,119.38,Top,270.0
C65,100.33,107.95,Top,270.0
C66,100.33,111.76,Top,270.0
C67,100.33,115.57,Top,270.0
C68,100.33,119.38,Top,270.0
C69,151.77,22.86,Top,270.0
C70,151.77,37.47,Top,270.0
C71,137.16,22.86,Top,270.0
C72,137.16,37.47,Top,270.0
C73,92.71,107.95,Top,270.0
C74,92.71,111.76,Top,270.0
C75,92.71,115.57,Top,270.0
C76,92.71,119.38,Top,270.0
C77,85.09,107.95,Top,270.0
C78,85.09,111.76,Top,270.0
C79,85.09,115.57,Top,270.0
C80,85.09,119.38,Top,270.0
C81,77.47,107.95,Top,270.0
C82,77.47,111.76,Top,270.0
C83,77.47,115.57,Top,270.0
C84,77.47,119.38,Top,270.0
C85,69.85,107.95,Top,270.0
C86,69.85,111.76,Top,270.0
C87,69.85,115.57,Top,270.0
C88,69.85,119.38,Top,270.0
C89,137.16, 7.62,Top,270.0
C90,88.90,24.13,Top,180.0
C91,88.90,11.43,Top,0.0
C92,88.90,21.59,Top,180.0
C93,62.23,107.95,Top,270.0
C94,62.23,111.76,Top,270.0
C95,62.23,115.57,Top,270.0
C96,62.23,119.38,Top,270.0
C97,46.36,107.95,Top,270.0
C98,46.36,111.76,Top,270.0
C99,46.36,115.57,Top,270.0
C100,46.36,119.38,Top,270.0
C101,53.98,107.95,Top,270.0
C102,53.98,111.76,Top,270.0
C103,53.98,115.57,Top,270.0
C104,53.98,119.38,Top,270.0
C105,39.37,107.95,Top,270.0
C106,39.37,111.76,Top,270.0
C107,39.37,115.57,Top,270.0
