Comment,Designator,Footprint,LCSC Part #
1uf,C3 C4,C0805,C15849
10uf,C1 C2,C0603,C19702
68,R7 R9 R11 R13 R15,R0603,c27592
B8B-PH-K,STAR_2,B8B-PH-K,
BH-18650-PC,BT1 BT2,BAT_BH-18650-PC,
BLOWER,S3,TACTILE_SWITCH_PTH_6.0MM,
D_B5819W-SL_CHANGJ_SOD123,D1,SOD123,C8598
ENABLE,S1,TACTILE_SWITCH_PTH_6.0MM,
FUEL,S4,TACTILE_SWITCH_PTH_6.0MM,
LD117AS12TR,IC1,SOT223,C347222
MF-MSMF-STYLE2_1,F1,FUSC4632X160,C78695
POOFER,S2,TACTILE_SWITCH_PTH_6.0MM,
R_4.7K_0603,R6 R8 R10 R12 R14,R0603,C23162
R_270R_0603,R1 R2 R3 R4 R5,R0603,C22966
ZAP,S5,TACTILE_SWITCH_PTH_6.0MM,
red,D2 D3 D4 D5 D6,LED-0603,C2286
