Designator,Mid X,Mid Y,Layer,Rotation
BT1,40.01,67.31,Top,0.0
BT2,40.01,47.63,Top,0.0
C1,15.24,34.29,Top,0.0
C2,33.02,34.29,Top,0.0
C3,15.24,29.21,Top,0.0
C4,33.02,29.21,Top,0.0
D1, 7.62,29.21,Top,0.0
D2, 6.35,24.13,Top,180.0
D3,39.37,24.13,Top,180.0
D4,49.53,24.13,Top,0.0
D5,59.69,24.13,Top,0.0
D6,69.85,24.13,Top,180.0
F1,71.12,33.02,Top,0.0
IC1,24.13,31.75,Top,0.0
R1,11.43,24.13,Top,0.0
R2,44.45,24.13,Top,0.0
R3,54.61,24.13,Top,0.0
R4,64.77,24.13,Top,0.0
R5,74.93,24.13,Top,0.0
R6, 6.35,20.32,Top,0.0
R7,11.43,20.32,Top,0.0
R8,39.37,20.32,Top,0.0
R9,44.45,20.32,Top,0.0
R10,49.53,20.32,Top,0.0
R11,54.61,20.32,Top,0.0
R12,59.69,20.32,Top,0.0
R13,64.77,20.32,Top,0.0
R14,69.85,20.32,Top,0.0
R15,74.93,20.32,Top,0.0
S1, 8.89,13.97,Top,0.0
S2,41.91,13.97,Top,0.0
S3,52.07,13.97,Top,0.0
S4,62.23,13.97,Top,0.0
S5,72.39,13.97,Top,0.0
STAR_2,21.59,100.33,Top,0.0
