"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"LABEL";"LCSC_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SKU";"SPICEPREFIX";
"C1";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C2";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C3";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C4";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C5";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C6";"0.1uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C14663";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C7";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C8";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C9";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C10";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C11";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C12";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C13";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"C19702";"";"";"";"";"";"";"37";"";"";"";"";"C";
"C14";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C15";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C16";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C17";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C18";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C19";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C20";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C21";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C22";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
"C23";"1uf";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"C15849";"";"";"";"";"";"";"63";"";"";"";"";"C";
