Comment,Designator,Footprint,LCSC Part #
,ESTOP_2,1X02,
,JP1,1X03,
,I2C,1X04,
,JP2,1X04,
,ACCESSORY,1X05,
,ACCESSORY_GPIO,1X05,
,JTAG,1X05,
,JP3,2X02,
,JP4,2X02,
,J1,2X5-SHROUDED,
,D1,LED-0603,C2286
,D2,LED-0603,C2286
,D3,LED-0603,C72043
,D4,LED-0603,C72041
,D5,LED-0603,C2290
,D6,LED-0603,C2286
,D7,LED-0603,C72043
,D8,LED-0603,C72041
,D9,LED-0603,C2290
,D10,LED-0603,C2286
,D11,LED-0603,C72043
,D12,LED-0603,C72041
,D13,LED-0603,C2290
,D14,LED-0603,C2286
,D15,LED-0603,C72043
,D16,LED-0603,C72041
,D17,LED-0603,C2290
,D18,LED-0603,C2286
,D19,LED-0603,C72043
,D20,LED-0603,C72041
,D21,LED-0603,C2290
,D22,LED-0603,C2286
,D23,LED-0603,C72043
,D24,LED-0603,C72041
,D25,LED-0603,C2290
,D26,LED-0603,C2286
,D27,LED-0603,C72043
,D28,LED-0603,C72041
,D29,LED-0603,C2290
,D30,LED-0603,C2286
,D31,LED-0603,C72043
,D32,LED-0603,C72041
,D33,LED-0603,C2290
,D34,LED-0603,C2286
,D35,LED-0603,C72043
,D36,LED-0603,C72041
,D37,LED-0603,C2290
,D38,LED-0603,C2286
,D39,LED-0603,C72043
,D40,LED-0603,C72041
,D41,LED-0603,C2290
,D42,LED-0603,C2286
,D43,LED-0603,C72043
,D44,LED-0603,C72041
,D45,LED-0603,C2290
,D46,LED-0603,C2286
,D47,LED-0603,C72043
,D48,LED-0603,C72041
,D49,LED-0603,C2290
,D50,LED-0603,C72043
,D51,LED-0603,C72041
,D52,LED-0603,C2290
,D53,LED-0603,C2286
,D54,LED-0603,C72043
,D55,LED-0603,C72041
,D56,LED-0603,C2290
,D57,LED-0603,C2286
,D58,LED-0603,C72043
,D59,LED-0603,C72041
,D60,LED-0603,C2290
,D61,LED-0603,C2286
,D62,LED-0603,C72043
,D63,LED-0603,C72041
,D64,LED-0603,C2290
,D65,LED-0603,C2286
,D66,LED-0603,C72043
,D67,LED-0603,C72041
,D68,LED-0603,C2290
,D69,LED-0603,C2286
,D70,LED-0603,C72043
,D71,LED-0603,C72041
,D72,LED-0603,C2290
,D73,LED-0603,C2286
,D74,LED-0603,C72043
,D75,LED-0603,C72041
,D76,LED-0603,C2290
,D77,LED-0603,C2286
,D78,LED-0603,C72043
,D79,LED-0603,C72041
,D80,LED-0603,C2290
,D199,LED-0603,C2286
,D200,LED-0603,C72043
,D201,LED-0603,C2286
,D202,LED-0603,C72043
,D203,LED-0603,C2286
,D204,LED-0603,C72043
,D205,LED-0603,C2286
,D206,LED-0603,C72043
,D207,LED-0603,C2286
,D208,LED-0603,C72043
,D209,LED-0603,C2286
,D210,LED-0603,C72043
,D211,LED-0603,C2286
,D212,LED-0603,C72043
,D213,LED-0603,C2286
,D214,LED-0603,C72043
,D215,LED-0603,C2286
,D216,LED-0603,C72043
,D217,LED-0603,C2286
,D218,LED-0603,C72043
,D219,LED-0603,C2286
,D220,LED-0603,C72043
,D221,LED-0603,C2286
,D222,LED-0603,C72043
,D223,LED-0603,C2286
,D224,LED-0603,C72043
,D225,LED-0603,C2286
,D226,LED-0603,C72043
,D227,LED-0603,C2286
,D228,LED-0603,C72043
,D229,LED-0603,C2286
,D230,LED-0603,C72043
,D231,LED-0603,C2286
,D232,LED-0603,C72043
,D233,LED-0603,C2286
,D234,LED-0603,C72043
,D235,LED-0603,C2286
,D236,LED-0603,C72043
,D237,LED-0603,C2286
,D238,LED-0603,C72043
,ULN2,SO18L,C9683
1k,R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R66 R69 R70 R71 R72 R73 R74 R75 R76 R77 R78 R79 R80 R81 R82 R87 R88 R89 R90 R91 R92 R93 R94 R95 R96 R97 R98 R99 R100 R101 R102 R125 R126 R127 R128 R129 R130 R139 R308 R309 R311 R312 R313 R314 R315 R316 R317 R318 R319 R320 R321 R322 R323 R324 R325 R326 R327 R328 R329 R330 R331 R332 R333 R334 R335 R336 R337 R338 R339 R340 R341 R342 R343 R344 R345 R346 R347 R348,R0603,C21190
1nf,C124,C0603,C1588
1uf,C4 C6 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C130,C0805,C15849
2.2k,R131,R0603,C4190
6N138SDM,U1,COUPL_6N138SDM,C188666
10,R68 R138,R1206,C17903
10k,R67 R133 R134 R135 R136 R137,R0603,C25804
10uf,C1 C2 C3 C5 C7 C8 C9 C10 C11 C12 C13 C34 C35 C36,C0603,C19702
