Comment,Designator,Footprint,LCSC Part #
,OVERRIDE_EN2,1X03,
,I2C,1X04,
,JTAG,1X05,
,JP1,2X02,
,ULN1,SO18L,C9683
1k,R7 R8 R130 R132 R139,R0603,C21190
1uf,C6 C14 C25 C33,C0805,C15849
2.2k,R131,R0603,C4190
10uf,C1 C3 C8 C35 C36,C0603,C19702
35A/25V/8.5mΩ,Q1 Q2 Q3 Q4,DPAK,C2995335
74HCT08D,IC2 IC3,SO14,C5593
120,R1 R5,R0603,C22787
2200uf,C28 C89,E5-13,
7404D,IC4,SO14,C5590
AQG22110,K5 K6,AQG,
B3B-PH-K,DMX_OUT OVERRIDE_EN,B3B-PH-K,
B4B-PH-K,LED_ARRAY,B4B-PH-K,
B8B-PH-K,5V_CTRL_LAZERS STAR_INPUT,B8B-PH-K,C157974
C_1NF/2KV_1206,C13 C18 C20 C22,C1206,C9196
C_1NF/50V_0603,C7 C16 C17,C0603,C1588
C_1UF/50V_0603,C32,C0603,C15849
C_100PF/50V_0603,C15 C19 C21 C23,C0603,C14858
C_100UF/6.3V_1206,C11 C12,C1206,C15008
D_B5819W-SL_CHANGJ_SOD123,D22 D23 D24 D25 D26 D27 D28 D29 D30 D31,SOD123,C8598
D_SS210_MDD_SMA,D12 D13 D14 D15,DO-214AC,C14996
EPP-120S,EPP-120S-24,EPS-25,
ESP32DEVKITV1,U$1,ESP32-DEVKITV1,
LD117AS12TR,IC22,SOT223,C347222
MAX481CSA,IC1 IC8,SO08,C8963
MCP23017-E/SO,NEBULA_A,SOIC127P1030X265-28N,C629440
MKDSN1 5/2-5 08,12VAC_IN X1,MKDSN1 5/2-5 08,
MKDSN1 5/4-5 08,POWER_IN,MKDSN1 5/4-5 08,
MKDSN1 5/5-5 08,FOG_IN,MKDSN1 5/5-5 08,
MKDSN1 5/8-5 08,FIRE_OUT,MKDSN1 5/8-5 08,
NID35,NID35-5 NID35-12,NID35,
R_0R_0603,R49,R0603,C21189
R_1.2K_0603,R3 R4,R0603,C22765
R_1K_0603,R18 R29 R36 R43 R50 R60 R61 R63,R0603,C21190
R_2.7K_0603,R17 R28 R35 R42,R0603,C13167
R_2K_0603,R21 R30 R37 R44,R0603,C22975
R_3K_0603,R26 R27,R0603,C4211
R_4.7K_1206,R10 R11 R12 R13,R1206,C17936
R_5.1K_0603,R19 R20,R0603,C23186
R_6.2K_0603,R45 R46 R47 R48,R0603,C4260
R_10K_0603,R14 R23 R32 R39,R0603,C25804
R_10R_0603,R15 R24 R33 R40,R0603,C22859
R_12K_0603,R16 R25 R34 R41,R0603,C22790
R_15K_0603,R62,R0603,C22809
R_100K_0603,R6,R0603,C25803
R_150R_0603,R2,R0603,C22808
R_330R_0603,R9 R22 R31 R38,R0603,C23138
S20K20,R55 R56,S20K20,
SKA15B,SKA15B-05,SKA15B,
SMBJ8.0CA,D4 D5 D10 D11 D20 D21 D139,DIOM4336X265N,C78757
T90-12VDC-TL-A,K1 K2 K3,JT1A-PCB,
TCLT1600,U1,SOP254P1015X230-4N,C553998
T_PNP_MMBT5401_CHANGJ_SOT23-BEC,T1 T2 T3 T4,SOT23,C8326
blue,D2 D3 D16 D17 D18 D19 D93,LED-0603,C72041
green,D6 D7 D8 D9 D92,LED-0603,C72043
red,D1 D91,LED-0603,C2286
yellow,D94,LED-0603,C72038
