Designator,Mid X,Mid Y,Layer,Rotation
5V_CTRL_LAZERS,132.72,52.71,Top,90.0
12VAC_IN, 6.99,170.81,Top,90.0
C1,125.10,20.32,Top,0.0
C3,102.87,54.61,Top,270.0
C6,109.22, 7.62,Top,90.0
C7,60.96,121.92,Top,270.0
C8,86.36,76.84,Top,270.0
C11,93.34, 7.62,Top,270.0
C12,90.17, 7.62,Top,270.0
C13,112.40,123.83,Top,90.0
C14,137.16,86.36,Top,90.0
C15,106.68,121.92,Top,270.0
C16,75.56,113.67,Top,270.0
C17,83.19,113.67,Top,270.0
C18,112.40,113.03,Top,90.0
C19,106.68,111.13,Top,270.0
C20,112.40,102.87,Top,90.0
C21,106.68,100.97,Top,270.0
C22,112.40,92.71,Top,90.0
C23,106.68,90.81,Top,270.0
C25,134.62,147.96,Top,270.0
C28,51.44, 8.26,Top,270.0
C32,137.16,97.16,Top,90.0
C33,137.16,27.94,Top,90.0
C35,106.68, 7.62,Top,90.0
C36,96.52, 7.62,Top,270.0
C89,36.83, 8.26,Top,270.0
D1,106.05,186.06,Top,0.0
D2,92.71,186.06,Top,0.0
D3,120.02,186.06,Top,0.0
D4,123.83,100.33,Top,0.0
D5,123.83,76.84,Top,0.0
D6,95.89,123.83,Top,270.0
D7,95.89,113.03,Top,270.0
D8,95.89,102.87,Top,270.0
D9,95.89,92.71,Top,270.0
D10,123.83,72.39,Top,0.0
D11,123.83,81.28,Top,0.0
D12,58.42,106.05,Top,90.0
D13,58.42,96.52,Top,90.0
D14,58.42,86.36,Top,90.0
D15,58.42,76.20,Top,90.0
D16,61.60,74.30,Top,270.0
D17,61.60,84.45,Top,270.0
D18,61.60,94.62,Top,270.0
D19,61.60,104.14,Top,270.0
D20,123.83,90.17,Top,0.0
D21,123.83,95.89,Top,0.0
D22,104.78,128.91,Top,0.0
D23,111.13,128.91,Top,0.0
D24,104.78,118.11,Top,0.0
D25,111.13,118.11,Top,0.0
D26,104.78,107.95,Top,0.0
D27,111.76,107.95,Top,0.0
D28,104.78,97.79,Top,0.0
D29,111.13,97.79,Top,0.0
D30,75.56,120.02,Top,270.0
D31,72.39,120.02,Top,270.0
D91,20.32, 9.53,Top,0.0
D92,20.32, 6.99,Top,0.0
D93,20.32, 4.45,Top,0.0
D94,20.32, 1.91,Top,0.0
D139,123.83,85.73,Top,0.0
DMX_OUT,132.72,37.47,Top,90.0
EPP-120S-24,57.15,128.91,Top,0.0
FIRE_OUT, 7.62,93.98,Top,90.0
FOG_IN, 6.99,147.32,Top,90.0
I2C,132.08,13.34,Top,180.0
IC1,133.35,86.36,Top,180.0
IC2,83.19,65.41,Top,0.0
IC3,83.19,101.60,Top,0.0
IC4,83.19,120.02,Top,0.0
IC8,133.35,27.94,Top,180.0
IC22,101.60, 7.62,Top,0.0
JP1, 7.62,67.31,Top,0.0
JTAG,120.02, 2.54,Top,180.0
K1,40.64,151.77,Top,90.0
K2,40.64,123.19,Top,90.0
K3,40.64,82.55,Top,90.0
K5,34.29,101.60,Top,180.0
K6,34.29,107.32,Top,180.0
LED_ARRAY,132.72,97.16,Top,90.0
NEBULA_A,94.62,79.38,Top,0.0
NID35-5,15.24,29.85,Top,0.0
NID35-12,15.24,16.51,Top,0.0
OVERRIDE_EN,132.72,110.49,Top,90.0
OVERRIDE_EN2,126.37,111.13,Top,90.0
POWER_IN, 7.62,45.09,Top,90.0
Q1,67.95,107.32,Top,90.0
Q2,67.95,97.79,Top,90.0
Q3,67.95,87.63,Top,90.0
Q4,67.95,77.47,Top,90.0
R1,137.16,78.74,Top,270.0
R2,79.38,127.64,Top,270.0
R3,55.88,123.83,Top,180.0
R4,55.88,120.65,Top,180.0
R5,137.16,38.73,Top,270.0
R6,73.03,113.67,Top,90.0
R7,66.04,121.92,Top,270.0
R8,63.50,121.92,Top,270.0
R9,109.22,121.92,Top,90.0
R10,52.07,165.74,Top,90.0
R11,46.36,165.74,Top,270.0
R12,40.64,165.74,Top,90.0
R13,34.93,165.74,Top,270.0
R14,109.22,125.73,Top,90.0
R15,106.68,125.73,Top,90.0
R16,98.43,123.83,Top,90.0
R17,93.34,123.83,Top,90.0
R18,90.81,123.83,Top,270.0
R19,78.11,113.67,Top,90.0
R20,80.65,113.67,Top,270.0
R21,80.65,94.62,Top,90.0
R22,109.22,111.13,Top,90.0
R23,109.22,114.94,Top,90.0
R24,106.68,114.94,Top,90.0
R25,98.43,113.03,Top,90.0
R26,103.51,22.86,Top,0.0
R27,103.51,30.48,Top,0.0
R28,93.34,113.03,Top,90.0
R29,90.81,113.03,Top,270.0
R30,84.45,94.62,Top,90.0
R31,109.22,100.97,Top,90.0
R32,109.22,104.78,Top,90.0
R33,106.68,104.78,Top,90.0
R34,98.43,102.87,Top,90.0
R35,93.34,102.87,Top,90.0
R36,90.81,102.87,Top,270.0
R37,84.45,108.59,Top,270.0
R38,109.22,90.81,Top,90.0
R39,109.22,94.62,Top,90.0
R40,106.68,94.62,Top,90.0
R41,98.43,92.71,Top,90.0
R42,93.34,92.71,Top,90.0
R43,90.81,92.71,Top,270.0
R44,80.65,108.59,Top,270.0
R45,125.10,38.10,Top,180.0
R46,125.10,40.64,Top,180.0
R47,125.10,43.18,Top,180.0
R48,125.10,33.02,Top,180.0
R49,125.10,30.48,Top,180.0
R50,121.92,109.86,Top,270.0
R55,26.04,174.63,Top,90.0
R56,26.04,182.25,Top,90.0
R60,55.25,107.32,Top,90.0
R61,55.25,97.79,Top,90.0
R62,55.25,87.63,Top,90.0
R63,55.25,77.47,Top,90.0
R130,16.51, 9.53,Top,180.0
R131,16.51, 6.99,Top,180.0
R132,16.51, 4.45,Top,180.0
R139,16.51, 1.91,Top,180.0
SKA15B-05,15.24,43.18,Top,0.0
STAR_INPUT,132.72,72.39,Top,90.0
T1,102.23,123.83,Top,180.0
T2,102.23,113.03,Top,180.0
T3,102.23,102.87,Top,180.0
T4,102.23,92.71,Top,180.0
U$1,109.22,33.02,Top,270.0
U1,57.15,144.15,Top,0.0
ULN1,111.13,80.65,Top,270.0
X1, 7.62,23.50,Top,90.0
